"","estimator","list_treatment","estimate","conf.low","conf.high","list","term","std.error","statistic","p.value","df","outcome"
"1","Direct","Making donations",0.209784735812133,0.193986697679494,0.225582773944772,NA,NA,NA,NA,NA,NA,NA
"2","Direct","Evicting neighbors",0.0622309197651661,0.0528575754063058,0.0716042641240264,NA,NA,NA,NA,NA,NA,NA
"3","Direct","Threatening neighbors",0.155772994129159,0.141702180458332,0.169843807799985,NA,NA,NA,NA,NA,NA,NA
"4","Direct","Offering work",0.125636007827789,0.112775837992604,0.138496177662974,NA,NA,NA,NA,NA,NA,NA
"5","List A","Making donations",-0.153804697989448,-0.342727810035027,0.0351184140561312,"count_a","Z",0.0962148834463385,-1.59855411637253,0.110396860813434,662,"count"
"6","List A","Evicting neighbors",-0.0208490552444692,-0.201562587257179,0.159864476768241,"count_a","Z",0.0920328785477734,-0.226539206134323,0.820852425857029,658,"count"
"7","List A","Offering work",-0.0635904380894044,-0.235963007873543,0.108782131694734,"count_a","Z",0.0877881692926887,-0.724362275711568,0.46909583789399,671,"count"
"8","List A","Threatening neighbors",0.0033611923974242,-0.164323097054816,0.171045481849665,"count_a","Z",0.0853990679048656,0.0393586543727686,0.968616256174402,665,"count"
"9","List B","Making donations",0.00189090750728769,-0.188250956663781,0.192032771678357,"count_b","Z",0.0968355703090222,0.0195269930383372,0.984426587617108,662,"count"
"10","List B","Evicting neighbors",-0.133964866369008,-0.307248565647774,0.0393188329097574,"count_b","Z",0.0882490507070047,-1.51803181219235,0.129486672889651,658,"count"
"11","List B","Offering work",-0.107558573561502,-0.290512924038031,0.0753957769150267,"count_b","Z",0.0931773977297018,-1.15434189172699,0.248770980422307,671,"count"
"12","List B","Threatening neighbors",-0.0504347428223158,-0.223477026278432,0.1226075406338,"count_b","Z",0.0881278130679666,-0.572290870118598,0.567318347768234,665,"count"
"13","DLE","Making donations",-0.0763975604900737,-0.174176726668661,0.0213816056885138,NA,"Z",0.0497970342285185,-1.53417892598755,0.12546340597917,661.984622786901,"count"
"14","DLE","Evicting neighbors",-0.0777909085912164,-0.173868020249117,0.0182862030666842,NA,"Z",0.0489295658764172,-1.58985486991025,0.112348389341649,657.254601099875,"count"
"15","DLE","Offering work",-0.0857132792616664,-0.182057286748406,0.0106307282250738,NA,"Z",0.0490674250914569,-1.74684689693631,0.081121004608657,671.620337986995,"count"
"16","DLE","Threatening neighbors",-0.0253586800573888,-0.126322215644888,0.0756048555301103,NA,"Z",0.0514192184288774,-0.493175136305596,0.62205162495984,665.138558265466,"count"
