"","Estimator","list_treatment","list","outcome","estimate","boot_se","boot_ci_lo","boot_ci_hi","boot_ci_which"
"1","Single list","Donation","count_a","count_hi",0.752720300322418,0.0849108593644815,0.586295015968034,0.919145584676802,0.919145584676802
"2","Single list","Donation","count_a","count_lo",0.0404596359915548,0.0775595879970296,-0.111557156482623,0.192476428465733,-0.111557156482623
"3","Single list","Donation","count_b","count_hi",1.05341843543851,0.0841127855209901,0.888557375817367,1.21827949505965,1.21827949505965
"4","Single list","Donation","count_b","count_lo",0.299339441614895,0.0807696406953608,0.141030945851987,0.457647937377802,0.141030945851987
"5","Single list","Evict","count_a","count_hi",0.944665966775529,0.0867085440770291,0.774717220384552,1.11461471316651,1.11461471316651
"6","Single list","Evict","count_a","count_lo",0.0644971455821192,0.0816278747811848,-0.0954934889890031,0.224487780153241,-0.0954934889890031
"7","Single list","Evict","count_b","count_hi",0.861979979526669,0.0895287636338664,0.686503602804291,1.03745635624905,1.03745635624905
"8","Single list","Evict","count_b","count_lo",-0.0167202481052132,0.0836976362620048,-0.180767615178743,0.147327118968316,-0.180767615178743
"9","Single list","Offer Work","count_a","count_hi",0.949577394692875,0.0807491571369433,0.791309046704466,1.10784574268128,1.10784574268128
"10","Single list","Offer Work","count_a","count_lo",0.11439982760093,0.0777252315162502,-0.0379416261709201,0.266741281372781,-0.0379416261709201
"11","Single list","Offer Work","count_b","count_hi",0.905450183145863,0.0842574241637874,0.740305631784839,1.07059473450689,1.07059473450689
"12","Single list","Offer Work","count_b","count_lo",0.0880857448380993,0.0808402430301009,-0.0703611315008985,0.246532621177097,-0.0703611315008985
"13","Single list","Threaten","count_a","count_hi",0.982261338189633,0.0804095142700726,0.824658690220291,1.13986398615898,1.13986398615898
"14","Single list","Threaten","count_a","count_lo",0.179586891270533,0.0771821574006873,0.0283098627651854,0.33086391977588,0.0283098627651854
"15","Single list","Threaten","count_b","count_hi",0.886339268111032,0.0812056698737674,0.727176155158447,1.04550238106362,1.04550238106362
"16","Single list","Threaten","count_b","count_lo",0.0973533261149592,0.0756058990138891,-0.0508342359522635,0.245540888182182,-0.0508342359522635
"17","DLE","Donation",NA,"count_hi",0.903308900177785,0.040749893566364,0.823439108787711,0.983178691567858,0.983178691567858
"18","DLE","Donation",NA,"count_lo",0.170422757115516,0.0387938762552014,0.0943867596553216,0.246458754575711,0.0943867596553216
"19","DLE","Evict",NA,"count_hi",0.903906698692381,0.0467642557441942,0.812248757433761,0.995564639951002,0.995564639951002
"20","DLE","Evict",NA,"count_lo",0.0243859189860071,0.0445241907969115,-0.0628814949759395,0.111653332947954,-0.0628814949759395
"21","DLE","Offer Work",NA,"count_hi",0.928148210246647,0.0458331089575591,0.838315316689831,1.01798110380346,1.01798110380346
"22","DLE","Offer Work",NA,"count_lo",0.101731717445112,0.0447317649668502,0.0140574581100854,0.189405976780138,0.0140574581100854
"23","DLE","Threaten",NA,"count_hi",0.93290953566981,0.0450726511241556,0.844567139466464,1.02125193187315,1.02125193187315
"24","DLE","Threaten",NA,"count_lo",0.137353495819249,0.043225293461959,0.0526319206338097,0.222075071004689,0.0526319206338097
