"","estimator","p","list_treatment","list","term","estimate","boot_se","boot_ci_lo","boot_ci_hi"
"1","List","1","Donation","count_a","Z",-0.103804697989448,0.0985245741607365,-0.296912863344491,0.0893034673655958
"2","List","1","Evict","count_a","Z",0.0291509447555308,0.0941432431922341,-0.155369811901248,0.21367170141231
"3","List","1","Offer Work","count_a","Z",-0.0135904380894043,0.0853750477506976,-0.180925531680772,0.153744655501963
"4","List","1","Threaten","count_a","Z",0.0533611923974241,0.0860799139666057,-0.115355438977123,0.222077823771971
"5","List","1","Donation","count_b","Z",0.0518909075072877,0.0970536025553096,-0.138334153501119,0.242115968515695
"6","List","1","Evict","count_b","Z",-0.0839648663690084,0.0902570074513409,-0.260868600973637,0.0929388682356197
"7","List","1","Offer Work","count_b","Z",-0.0575585735615022,0.0963734430317922,-0.246450521903815,0.13133337478081
"8","List","1","Threaten","count_b","Z",-0.000434742822315759,0.0902604127313736,-0.177345151775808,0.176475666131177
"9","DLE","1","Donation","DLE","Z",-0.0263975604900737,0.048667344443786,-0.121785555599894,0.0689904346197468
"10","DLE","1","Evict","DLE","Z",-0.0277909085912164,0.0493028690425692,-0.124424531914652,0.0688427147322193
"11","DLE","1","Offer Work","DLE","Z",-0.0357132792616663,0.0482290014487169,-0.130242122101151,0.0588155635778187
"12","DLE","1","Threaten","DLE","Z",0.0246413199426111,0.0526629702484119,-0.0785781017442761,0.127860741629498
"13","List","2","Donation","count_a","Z",-0.0538046979894478,0.096840537472881,-0.243612151436294,0.136002755457399
"14","List","2","Evict","count_a","Z",0.0791509447555308,0.0957469445704667,-0.108513066602584,0.266814956113646
"15","List","2","Offer Work","count_a","Z",0.0364095619105957,0.0860968899280137,-0.132340342348311,0.205159466169503
"16","List","2","Threaten","count_a","Z",0.103361192397424,0.089618173303888,-0.0722904272781965,0.279012812073045
"17","List","2","Donation","count_b","Z",0.101890907507288,0.0986919007324112,-0.0915452179282383,0.295327032942814
"18","List","2","Evict","count_b","Z",-0.0339648663690084,0.0889245609806967,-0.208257005891174,0.140327273153157
"19","List","2","Offer Work","count_b","Z",-0.00755857356150219,0.0899009210128145,-0.183764378746619,0.168647231623614
"20","List","2","Threaten","count_b","Z",0.0495652571776843,0.0906292358544234,-0.128068045096986,0.227198559452354
"21","DLE","2","Donation","DLE","Z",0.0236024395099263,0.0488192768630322,-0.0720833431416167,0.119288222161469
"22","DLE","2","Evict","DLE","Z",0.0222090914087836,0.0497970858815375,-0.0753931969190298,0.119811379736597
"23","DLE","2","Offer Work","DLE","Z",0.0142867207383337,0.0469408589983495,-0.0777173628984312,0.106290804375099
"24","DLE","2","Threaten","DLE","Z",0.0746413199426111,0.0540779944948446,-0.0313515492672843,0.180634189152506
"25","List","3","Donation","count_a","Z",0.0461953020105521,0.0972926070259286,-0.144498207760268,0.236888811781372
"26","List","3","Evict","count_a","Z",0.179150944755531,0.093627392390842,-0.00435874433051947,0.362660633841581
"27","List","3","Offer Work","count_a","Z",0.136409561910596,0.0924372206184715,-0.0447673905016082,0.3175865143228
"28","List","3","Threaten","count_a","Z",0.203361192397424,0.0831202295064983,0.0404455425646871,0.36627684223016
"29","List","3","Donation","count_b","Z",0.201890907507288,0.100424169859295,0.00505953458306968,0.398722280431506
"30","List","3","Evict","count_b","Z",0.0660351336309916,0.0917663333036469,-0.113826879644156,0.24589714690614
"31","List","3","Offer Work","count_b","Z",0.0924414264384979,0.094428456510918,-0.0926383483229013,0.277521201199897
"32","List","3","Threaten","count_b","Z",0.149565257177684,0.0829201173444112,-0.0129581728173618,0.31208868717273
"33","DLE","3","Donation","DLE","Z",0.123602439509926,0.0512343526414649,0.023183108332655,0.224021770687198
"34","DLE","3","Evict","DLE","Z",0.122209091408784,0.0505403795899152,0.02314994741255,0.221268235405017
"35","DLE","3","Offer Work","DLE","Z",0.114286720738334,0.0493991734220163,0.0174643408311818,0.211109100645486
"36","DLE","3","Threaten","DLE","Z",0.174641319942611,0.0475948816624162,0.0813553518842753,0.267927288000947
"37","List","4","Donation","count_a","Z",0.146195302010552,0.0949935702535262,-0.0399920956863593,0.332382699707463
"38","List","4","Evict","count_a","Z",0.279150944755531,0.0931665260774058,0.0965445536438155,0.461757335867246
"39","List","4","Offer Work","count_a","Z",0.236409561910596,0.0871155486954857,0.0656630864674439,0.407156037353748
"40","List","4","Threaten","count_a","Z",0.303361192397423,0.0870878728834881,0.132668961545787,0.47405342324906
"41","List","4","Donation","count_b","Z",0.301890907507288,0.0981213246749223,0.10957311114444,0.494208703870135
"42","List","4","Evict","count_b","Z",0.166035133630992,0.0881960306869353,-0.00682908651540154,0.338899353777385
"43","List","4","Offer Work","count_b","Z",0.192441426438498,0.0918484659876131,0.0124184331027763,0.37246441977422
"44","List","4","Threaten","count_b","Z",0.249565257177684,0.0880776033347145,0.0769331546416439,0.422197359713725
"45","DLE","4","Donation","DLE","Z",0.223602439509926,0.0503246131322163,0.124966197770782,0.32223868124907
"46","DLE","4","Evict","DLE","Z",0.222209091408784,0.048600521482165,0.12695206930374,0.317466113513827
"47","DLE","4","Offer Work","DLE","Z",0.214286720738334,0.0484162306941218,0.119390908577855,0.309182532898813
"48","DLE","4","Threaten","DLE","Z",0.274641319942611,0.0522640854371705,0.172203712485757,0.377078927399465
