"","variable","N","Mean","SD","Min","Max"
"1","afro",2525,0.104158415841584,0.305526445869836,0,1
"2","age",2668,41.3721889055472,15.191780092652,18,100
"3","edu_pri_com",2555,0.0692759295499022,0.253972479895186,0,1
"4","edu_pri_inc",2555,0.0227005870841487,0.148976363596324,0,1
"5","edu_sec_com",2555,0.189823874755382,0.39223843128729,0,1
"6","edu_sec_inc",2555,0.29119373776908,0.454401539654453,0,1
"7","edu_ter_com",2555,0.16320939334638,0.369628950531064,0,1
"8","edu_ter_inc",2555,0.263796477495108,0.440776515522299,0,1
"9","employed",2545,0.55992141453831,0.496493991031183,0,1
"10","female",2668,0.642053973013493,0.479486017241765,0,1
"11","inc_diff",2519,0.352917824533545,0.477972308192222,0,1
"12","inc_enough",2519,0.424374751885669,0.494345866450621,0,1
"13","inc_great_diff",2519,0.112346169114728,0.315854574210115,0,1
"14","inc_save",2519,0.110361254466058,0.31340172286718,0,1
"15","indigenous",2525,0.0689108910891089,0.253352720550806,0,1
"16","male",2668,0.353073463268366,0.47801489184004,0,1
"17","other_race",2525,0.0855445544554456,0.279745735977854,0,1
"18","other_sex",2668,0.00487256371814093,0.0696465356057551,0,1
"19","white",2525,0.741386138613861,0.437959696690304,0,1
